|41|,|3|,|152|,|979|,|483|,|2203.05|,|2170|,|2007-04-16|,|Referente a 35 horas do mês de março até 16/abril de 2007 de treinamento. acompanhamento. consultoria e Adequações do sistema. In loco|,|10|,|16|
|42|,|7022|,|254|,|1085|,|483|,|2785.79|,|2744|,|2007-04-17|,|Parcela 01 de 02. referente a OS 001 que contempla o desenvolvimento e a implantação do Website My Fair Lady|,|15|,|21|
|43|,|7028|,|240|,|994|,|485|,|7366.65|,|6913.6|,|2007-04-23|,|SAPP - Sistema de Acompanhamento de Projeto Pedagógico|,|12|,|16|
|44|,|6947|,|181|,|342|,|486|,|7160.36|,|6720|,|2007-04-24|,|Parcela mensal referente à prestação de serviço de consultoria em processos e integração de sistemas. conforme OS-SF-029|,|6|,|21|
|45|,|3|,|166|,|1055|,|487|,|10407|,|9766.97|,|2007-04-25|,|Parcela 2 de 4 referente a OS 001 de desenvolvimento de upgrade no sistema. contemplando novas funcionalidades. novos relatórios e ajustes em relatórios existentes.|,|10|,|16|
|46|,|7038|,|256|,|1094|,|488|,|2833.33|,|2790.83|,|2007-04-27|,|consultoria de processos. análise de sistemas e elaboração de documentos|,|15|,|16|
|47|,|6936|,|253|,|1082|,|489|,|2000|,|1970|,|2007-05-02|,|Projeto “O Melhor Lugar do Mundo"|,|10|,|16|
|48|,|3|,|175|,|291|,|490|,|11859.3|,|11130|,|2007-05-02|,|Referente a 210 horas do mês de março (23/3/2007. 26/3/2007. 27/3/2007. 28/3/2007. 29/3/2007 e 30/3/2007) e de abril de 2007 de alocação de recurso java para o desenvolvimento de sistemas para a área de Vendas.|,|9|,|16|
|49|,|3|,|175|,|291|,|491|,|12028.8|,|11289|,|2007-05-02|,|Referente a 213 horas do mês de março (23/3/2007. 26/3/2007. 27/3/2007. 28/3/2007. 29/3/2007 e 30/3/2007) e abril/2007 de alocação do recurso Francisco Ogatha em análise/desenvolvimento de sistemas java.|,|9|,|16|
|50|,|6936|,|246|,|1027|,|492|,|2800|,|2758|,|2007-05-02|,|Referente à segunda parcela do projeto Sistema Digital Pesquisa|,|10|,|16|
|51|,|2|,|149|,|1090|,|493|,|2976|,|2931.36|,|2007-05-02|,|Parcela única referente a OS 15 de desenvolvimento e implantação de upgrade na versão 2.0 do sisconDJ.|,|10|,|16|
|52|,|7043|,|258|,|1102|,|494|,|7989.34|,|7498|,|2007-05-07|,|Parcela 1 de 2 referente a OS 001 de desenvolvimento e implantação do portal colaborativo da Assurant. UFI (Universo Finance & Insurance).|,|14|,|16|
|53|,|7039|,|251|,|1073|,|0|,|2000|,|2000|,|2007-05-08|,|segunda parcela de desenvolvimento do website search RH|,|15|,|0|
|54|,|6947|,|181|,|394|,|495|,|7255.57|,|6809.35|,|2007-05-08|,|Elaboracao de programas software. Conforme OS-SF-001. OS-SF-002. OS-SF-005. OS-SF-028 e SF-1024|,|6|,|21|
|55|,|6947|,|181|,|394|,|500|,|6002.4|,|5633.25|,|2007-05-08|,|Elaboração de programas software. Conforme OS-SF-001. OS-SF-002. OS-SF-005. OS-SF-028 e SF-1024|,|6|,|21|
|56|,|7044|,|259|,|1108|,|0|,|685.44|,|685.44|,|2007-05-10|,|desenvolvimento de sistema de monitoramento de BC|,|15|,|0|
