"camilo.silveira","9","1","S","carlos.arruda","2017-11-10 12:23:19"
"evandro.santos","16","1","S","carlos.arruda","2017-11-10 12:23:19"
"fernanda.barbosa","13","1","S","carlos.arruda","2017-11-10 12:23:19"
"gustavo.buquio","15","1","N","contato","2017-11-10 12:23:19"
"luiz.cortez","16","1","S","carlos.arruda","2017-11-10 12:23:19"
"jefter.fontes","5","1","N","carlos.arruda","2017-11-10 12:23:19"
"ricardo.perez","12","1","S","carlos.arruda","2017-11-10 12:23:19"
"andre.bandera","4","1","N","contato","2017-11-10 12:23:19"
"vanessa.souza","11","1","S","contato","2017-11-10 12:23:19"
"rodrigo.miranda","15","1","S","carlos.arruda","2017-11-10 12:23:19"
"regiane.domingo","5","1","N","contato","2017-11-10 12:23:19"
"fabio.martins","6","1","S","carlos.arruda","2017-11-10 12:23:19"
"caio.salim","9","1","S","carlos.arruda","2017-11-10 12:23:19"
"rodrigo.sansao","12","1","S","carlos.arruda","2017-11-10 12:23:19"
"angelina.oshiro","11","1","S","carlos.arruda","2017-11-10 12:23:19"
"andre.tinchant","14","1","S","carlos.arruda","2017-11-10 12:23:19"
"ravi.rauber","4","1","N","contato","2017-11-10 12:23:19"
"andrew.silva","10","1","S","carlos.arruda","2017-11-10 12:23:19"
"leandro.duprat","12","1","S","contato","2017-11-10 12:23:19"
"silvio.maraes","2","1","S","contato","2017-11-10 12:23:19"
